#{"t_start": 1689166072.05555, "env_id": "None"}
r,l,t
-9.972453,5,8.742025
-9.967985,2,8.744026
-9.967985,3,8.746983
-9.999872,4,8.749906
-14.997831,5,8.754688
-9.995632,4,8.758832
-9.991506,4,8.762818
-9.967985,3,8.766365
-9.996418,5,8.770364
-9.985221,4,8.774447
-9.991655,4,8.777978
2.019274,8,8.892975
-9.987174,4,8.900162
-9.956258,7,8.905627
-14.986083,7,8.912636
-9.963621,4,8.916634
-9.95608,8,8.922881
-14.940008,3,8.924634
-14.993891,4,8.928666
-9.974944,3,8.930665
-14.948093,6,8.93581
-14.966371,5,8.938849
-14.940008,4,8.94308
-9.997959,5,8.948979
-9.961542,4,8.952688
-9.99235,6,8.956758
-9.959028,5,8.962692
-14.940008,3,8.964732
-9.957517,4,8.96791
-9.994169,3,8.969715
-9.967985,3,8.971717
-14.921548,6,8.977009
-9.967982,4,8.982022
-14.925292,4,8.984021
-9.988623,3,8.987184
-9.989787,6,8.992182
-9.999602,5,8.996418
-14.98103,6,9.001425
-9.968633,5,9.005002
-9.997883,5,9.009083
-14.991875,6,9.015084
-14.997942,4,9.017348
-9.967985,3,9.019378
-9.987633,3,9.023385
-9.966101,3,9.025791
-9.986565,4,9.029526
-9.988432,5,9.03353
-9.970971,4,9.037821
-9.969376,4,9.039881
-9.999749,5,9.043821
-9.999299,5,9.048815
-9.967985,3,9.050814
-9.967327,5,9.055984
-9.992813,5,9.060968
-14.972024,5,9.064013
-9.920497,6,9.070036
-9.960854,5,9.073027
-9.999224,3,9.075038
-9.958917,6,9.081244
-9.997219,5,9.086234
-9.999908,3,9.088572
-9.967985,2,9.089621
-9.980762,4,9.093571
-9.994409,7,9.100968
-19.980156,8,9.10862
-14.996971,6,9.114622
-9.976602,3,9.117798
-9.973829,7,9.124538
-9.96785,3,9.12657
-9.981722,3,9.131565
-9.987437,5,9.134599
-9.993492,4,9.1376
-9.967985,4,9.140601
-9.991495,3,9.142599
-9.962917,3,9.147656
-9.996919,5,9.151688
-9.998252,3,9.153655
-9.994168,5,9.158469
-9.999856,6,9.163791
-14.948093,6,9.168803
-3.020186,8,9.284798
-9.967985,3,9.287827
-9.974116,4,9.289827
-9.998357,4,9.292826
-9.99358,3,9.296018
-14.999511,6,9.299292
-9.996815,4,9.303295
-9.964673,3,9.30669
-9.999336,3,9.308502
-9.992836,4,9.312502
-9.989308,5,9.31658
-9.990938,4,9.31958
-9.986233,4,9.32258
-9.971432,5,9.326844
-9.981575,4,9.331777
-9.995855,6,9.336225
-9.999422,3,9.338778
-9.967985,4,9.341346
-9.967985,2,9.343363
-2.421524,8,9.450506
-9.967985,4,9.453757
-9.998142,4,9.457418
-9.922891,4,9.459419
-14.989787,8,9.464419
-14.965439,7,9.469394
-14.969434,5,9.475734
-9.956824,4,9.479765
-9.999912,3,9.481767
-14.987335,4,9.485138
-9.989477,4,9.489811
-14.98085,5,9.492619
-9.957364,4,9.496665
-14.96954,6,11.436007
-9.996294,5,11.440015
-9.977915,6,11.448097
