#{"t_start": 1689179343.2585473, "env_id": "None"}
r,l,t
-9.96261,3,10.143325
-14.997311,6,10.149843
-9.961482,4,10.152322
-14.973413,6,10.156324
-9.997411,4,10.158322
-9.973838,4,10.161322
-9.996849,4,10.166451
-9.960691,8,10.17145
-14.971559,5,10.174449
-9.992693,4,10.177449
-9.979054,2,10.180449
-9.977499,4,10.183452
-9.99083,4,10.186452
-9.973221,4,10.188452
-14.99312,5,10.192451
-9.995249,4,10.196079
-14.932641,6,10.200109
-9.951102,5,10.204117
-14.981684,6,10.208077
-9.969835,3,10.21208
-14.987437,7,10.217126
-9.955505,5,10.221127
-9.979007,3,10.223127
-9.987746,7,10.229254
-14.974946,4,10.232254
-9.978931,3,10.235255
-14.998058,4,10.238305
-9.979054,2,10.240254
-19.996849,5,10.24529
-9.998113,3,10.247311
-9.975251,3,10.250278
-9.989573,4,10.252277
-9.992042,4,10.255279
-14.977472,4,10.25928
-9.996866,4,10.262282
-9.976197,3,10.264281
-9.993018,4,10.267281
-14.994043,7,10.273278
-14.981625,6,10.277277
-9.998518,4,10.280278
-19.997256,6,10.285278
-9.979054,2,10.286279
-9.9971,3,10.29035
-9.997058,3,10.292277
-9.997383,4,10.295277
-9.996339,5,10.29828
-9.997246,5,10.302278
-9.977243,4,10.305636
-14.978528,6,10.309311
-14.997043,4,10.312311
-9.978381,3,10.314752
-9.998484,5,10.318333
-9.998967,4,10.322302
-9.997242,3,10.324302
-9.975677,5,10.327786
-9.983021,4,10.330786
-9.998299,3,10.333787
-9.978269,4,10.33743
-19.941273,6,10.341429
-9.988147,3,10.343429
-14.974163,5,10.347771
-9.997598,3,10.35143
-14.959327,5,10.355463
-9.977531,5,10.359463
-14.986506,8,10.363462
-9.978426,4,10.368168
-14.980197,4,10.370167
-9.98204,4,10.373165
-9.996783,3,10.37517
-9.997905,4,10.378169
-9.993334,6,10.384134
-9.976694,3,10.386133
-9.974169,3,10.388133
-9.996827,4,10.391207
-9.926191,6,10.395133
-9.979054,2,10.396133
-9.996424,4,10.401134
-9.978996,3,10.403133
-9.977975,5,10.407132
-9.978215,3,10.409133
-14.959126,5,10.413133
-9.997346,4,10.417066
-9.965285,7,10.4211
-9.997088,5,10.425101
-9.973603,6,10.429688
-9.988788,4,10.432659
-19.940923,7,10.437688
-9.995604,7,10.441688
-9.995981,5,10.446088
0.282364,8,10.548943
-9.97966,7,10.554944
-9.953181,6,10.559346
-9.983849,4,10.562346
-9.978889,3,10.564346
-9.963007,5,10.56974
-9.997939,3,10.571613
-9.978833,3,10.574614
-9.998452,3,10.576344
-9.989644,3,10.579356
-9.985591,4,10.585334
-9.978322,3,10.587394
-9.97854,3,10.589438
-14.9597,3,10.592341
-14.995679,7,10.597611
-14.994596,5,10.602341
-9.985133,4,10.606341
-9.984805,3,10.608373
-9.979054,2,10.609377
-9.98597,3,10.61137
-9.998238,4,10.615345
-19.960913,7,10.621035
-14.980261,4,10.624035
-9.998646,5,10.627035
-9.979054,2,10.629038
-14.939591,7,10.635036
-9.975015,3,10.637037
-9.997051,3,10.640037
-9.975502,5,10.643037
-9.973838,6,10.648008
-9.97859,3,10.651037
-12.523054,8,10.752215
-9.979864,4,10.755212
-14.979567,6,10.760212
-9.975935,6,10.764216
-9.99763,4,10.76827
-14.998132,4,10.77127
-19.972667,6,10.776096
-9.979534,4,10.779096
-9.991696,4,10.783536
-9.978645,4,10.786097
-9.997177,7,10.792131
-9.977076,3,10.794133
-9.996844,4,10.797745
-9.993181,4,10.801129
-9.992707,7,10.807117
-9.989338,4,10.809117
-9.978111,3,10.81112
-9.975539,3,10.813127
-14.951168,6,10.819132
-9.978539,5,10.8231
